"Date","category","n","perc","Stratification","Group","Organisation"
2025-07-30,"Normal",3,50,"Overall",NA,"Overall"
2025-07-30,"Overweight",2,33.3333333333333,"Overall",NA,"Overall"
2025-07-30,"Underweight",1,16.6666666666667,"Overall",NA,"Overall"
2025-07-31,"Normal",3,50,"Overall",NA,"Overall"
2025-07-31,"Obese",1,16.6666666666667,"Overall",NA,"Overall"
2025-07-31,"Overweight",2,33.3333333333333,"Overall",NA,"Overall"
2025-07-30,"Normal",2,50,"sex","male","Overall"
2025-07-30,"Normal",1,50,"sex","female","Overall"
2025-07-30,"Overweight",1,25,"sex","male","Overall"
2025-07-30,"Overweight",1,50,"sex","female","Overall"
2025-07-30,"Underweight",1,25,"sex","male","Overall"
2025-07-31,"Normal",2,40,"sex","male","Overall"
2025-07-31,"Normal",1,100,"sex","female","Overall"
2025-07-31,"Obese",1,20,"sex","male","Overall"
2025-07-31,"Overweight",2,40,"sex","male","Overall"
2025-07-30,"Normal",2,50,"agegroup","30-44 years","Overall"
2025-07-30,"Normal",1,50,"agegroup","Over 45 years","Overall"
2025-07-30,"Overweight",1,25,"agegroup","30-44 years","Overall"
2025-07-30,"Overweight",1,50,"agegroup","Over 45 years","Overall"
2025-07-30,"Underweight",1,25,"agegroup","30-44 years","Overall"
2025-07-31,"Normal",2,50,"agegroup","30-44 years","Overall"
2025-07-31,"Normal",1,50,"agegroup","Over 45 years","Overall"
2025-07-31,"Obese",1,25,"agegroup","30-44 years","Overall"
2025-07-31,"Overweight",1,25,"agegroup","30-44 years","Overall"
2025-07-31,"Overweight",1,50,"agegroup","Over 45 years","Overall"
2025-07-30,"Normal",1,50,"governorate","Gaza City","Overall"
2025-07-30,"Normal",2,50,"governorate","Deir Al Balah","Overall"
2025-07-30,"Overweight",1,50,"governorate","Gaza City","Overall"
2025-07-30,"Overweight",1,25,"governorate","Deir Al Balah","Overall"
2025-07-30,"Underweight",1,25,"governorate","Deir Al Balah","Overall"
2025-07-31,"Normal",1,100,"governorate","North Gaza","Overall"
2025-07-31,"Normal",2,50,"governorate","Deir Al Balah","Overall"
2025-07-31,"Obese",1,25,"governorate","Deir Al Balah","Overall"
2025-07-31,"Overweight",1,100,"governorate","Gaza City","Overall"
2025-07-31,"Overweight",1,25,"governorate","Deir Al Balah","Overall"
2025-07-30,"Normal",1,100,"role","expatriate","Overall"
2025-07-30,"Normal",2,50,"role","national staff member","Overall"
2025-07-30,"Overweight",2,50,"role","national staff member","Overall"
2025-07-30,"Underweight",1,100,"role","consultant or contractor","Overall"
2025-07-31,"Normal",3,50,"role","national staff member","Overall"
2025-07-31,"Obese",1,16.6666666666667,"role","national staff member","Overall"
2025-07-31,"Overweight",2,33.3333333333333,"role","national staff member","Overall"
2025-07-30,"Normal",3,50,"Overall",NA,"Save the Children International"
2025-07-30,"Overweight",2,33.3333333333333,"Overall",NA,"Save the Children International"
2025-07-30,"Underweight",1,16.6666666666667,"Overall",NA,"Save the Children International"
2025-07-31,"Normal",3,50,"Overall",NA,"Save the Children International"
2025-07-31,"Obese",1,16.6666666666667,"Overall",NA,"Save the Children International"
2025-07-31,"Overweight",2,33.3333333333333,"Overall",NA,"Save the Children International"
2025-07-30,"Normal",2,50,"sex","male","Save the Children International"
2025-07-30,"Normal",1,50,"sex","female","Save the Children International"
2025-07-30,"Overweight",1,25,"sex","male","Save the Children International"
2025-07-30,"Overweight",1,50,"sex","female","Save the Children International"
2025-07-30,"Underweight",1,25,"sex","male","Save the Children International"
2025-07-31,"Normal",2,40,"sex","male","Save the Children International"
2025-07-31,"Normal",1,100,"sex","female","Save the Children International"
2025-07-31,"Obese",1,20,"sex","male","Save the Children International"
2025-07-31,"Overweight",2,40,"sex","male","Save the Children International"
2025-07-30,"Normal",2,50,"agegroup","30-44 years","Save the Children International"
2025-07-30,"Normal",1,50,"agegroup","Over 45 years","Save the Children International"
2025-07-30,"Overweight",1,25,"agegroup","30-44 years","Save the Children International"
2025-07-30,"Overweight",1,50,"agegroup","Over 45 years","Save the Children International"
2025-07-30,"Underweight",1,25,"agegroup","30-44 years","Save the Children International"
2025-07-31,"Normal",2,50,"agegroup","30-44 years","Save the Children International"
2025-07-31,"Normal",1,50,"agegroup","Over 45 years","Save the Children International"
2025-07-31,"Obese",1,25,"agegroup","30-44 years","Save the Children International"
2025-07-31,"Overweight",1,25,"agegroup","30-44 years","Save the Children International"
2025-07-31,"Overweight",1,50,"agegroup","Over 45 years","Save the Children International"
2025-07-30,"Normal",1,50,"governorate","Gaza City","Save the Children International"
2025-07-30,"Normal",2,50,"governorate","Deir Al Balah","Save the Children International"
2025-07-30,"Overweight",1,50,"governorate","Gaza City","Save the Children International"
2025-07-30,"Overweight",1,25,"governorate","Deir Al Balah","Save the Children International"
2025-07-30,"Underweight",1,25,"governorate","Deir Al Balah","Save the Children International"
2025-07-31,"Normal",1,100,"governorate","North Gaza","Save the Children International"
2025-07-31,"Normal",2,50,"governorate","Deir Al Balah","Save the Children International"
2025-07-31,"Obese",1,25,"governorate","Deir Al Balah","Save the Children International"
2025-07-31,"Overweight",1,100,"governorate","Gaza City","Save the Children International"
2025-07-31,"Overweight",1,25,"governorate","Deir Al Balah","Save the Children International"
2025-07-30,"Normal",1,100,"role","expatriate","Save the Children International"
2025-07-30,"Normal",2,50,"role","national staff member","Save the Children International"
2025-07-30,"Overweight",2,50,"role","national staff member","Save the Children International"
2025-07-30,"Underweight",1,100,"role","consultant or contractor","Save the Children International"
2025-07-31,"Normal",3,50,"role","national staff member","Save the Children International"
2025-07-31,"Obese",1,16.6666666666667,"role","national staff member","Save the Children International"
2025-07-31,"Overweight",2,33.3333333333333,"role","national staff member","Save the Children International"
