"Date","category","n","perc","Stratification","Group","Organisation"
2025-07-28,"Normal",48,51.063829787234,"Overall",NA,"Overall"
2025-07-28,"Obese",2,2.12765957446809,"Overall",NA,"Overall"
2025-07-28,"Overweight",28,29.7872340425532,"Overall",NA,"Overall"
2025-07-28,"Underweight",16,17.0212765957447,"Overall",NA,"Overall"
2025-07-29,"Normal",55,52.3809523809524,"Overall",NA,"Overall"
2025-07-29,"Obese",3,2.85714285714286,"Overall",NA,"Overall"
2025-07-29,"Overweight",26,24.7619047619048,"Overall",NA,"Overall"
2025-07-29,"Underweight",21,20,"Overall",NA,"Overall"
2025-07-30,"Normal",59,56.1904761904762,"Overall",NA,"Overall"
2025-07-30,"Obese",2,1.9047619047619,"Overall",NA,"Overall"
2025-07-30,"Overweight",25,23.8095238095238,"Overall",NA,"Overall"
2025-07-30,"Underweight",19,18.0952380952381,"Overall",NA,"Overall"
2025-07-31,"Normal",65,50,"Overall",NA,"Overall"
2025-07-31,"Obese",5,3.84615384615385,"Overall",NA,"Overall"
2025-07-31,"Overweight",37,28.4615384615385,"Overall",NA,"Overall"
2025-07-31,"Underweight",23,17.6923076923077,"Overall",NA,"Overall"
2025-08-01,"Normal",63,50.4,"Overall",NA,"Overall"
2025-08-01,"Obese",4,3.2,"Overall",NA,"Overall"
2025-08-01,"Overweight",36,28.8,"Overall",NA,"Overall"
2025-08-01,"Underweight",22,17.6,"Overall",NA,"Overall"
2025-08-02,"Normal",74,56.4885496183206,"Overall",NA,"Overall"
2025-08-02,"Obese",6,4.58015267175572,"Overall",NA,"Overall"
2025-08-02,"Overweight",29,22.1374045801527,"Overall",NA,"Overall"
2025-08-02,"Underweight",22,16.793893129771,"Overall",NA,"Overall"
2025-08-03,"Normal",70,53.4351145038168,"Overall",NA,"Overall"
2025-08-03,"Obese",4,3.05343511450382,"Overall",NA,"Overall"
2025-08-03,"Overweight",39,29.7709923664122,"Overall",NA,"Overall"
2025-08-03,"Underweight",18,13.7404580152672,"Overall",NA,"Overall"
2025-08-04,"Normal",68,55.2845528455285,"Overall",NA,"Overall"
2025-08-04,"Obese",2,1.6260162601626,"Overall",NA,"Overall"
2025-08-04,"Overweight",30,24.390243902439,"Overall",NA,"Overall"
2025-08-04,"Underweight",23,18.6991869918699,"Overall",NA,"Overall"
2025-08-05,"Normal",76,53.5211267605634,"Overall",NA,"Overall"
2025-08-05,"Obese",6,4.22535211267606,"Overall",NA,"Overall"
2025-08-05,"Overweight",31,21.830985915493,"Overall",NA,"Overall"
2025-08-05,"Underweight",29,20.4225352112676,"Overall",NA,"Overall"
2025-07-28,"Normal",22,62.8571428571429,"sex","female","Overall"
2025-07-28,"Normal",23,41.0714285714286,"sex","male","Overall"
2025-07-28,"Normal",3,100,"sex","other/prefer not to share","Overall"
2025-07-28,"Obese",2,3.57142857142857,"sex","male","Overall"
2025-07-28,"Overweight",28,50,"sex","male","Overall"
2025-07-28,"Underweight",13,37.1428571428571,"sex","female","Overall"
2025-07-28,"Underweight",3,5.35714285714286,"sex","male","Overall"
2025-07-29,"Normal",14,43.75,"sex","female","Overall"
2025-07-29,"Normal",38,55.0724637681159,"sex","male","Overall"
2025-07-29,"Normal",3,75,"sex","other/prefer not to share","Overall"
2025-07-29,"Obese",3,4.34782608695652,"sex","male","Overall"
2025-07-29,"Overweight",2,6.25,"sex","female","Overall"
2025-07-29,"Overweight",24,34.7826086956522,"sex","male","Overall"
2025-07-29,"Underweight",16,50,"sex","female","Overall"
2025-07-29,"Underweight",4,5.79710144927536,"sex","male","Overall"
2025-07-29,"Underweight",1,25,"sex","other/prefer not to share","Overall"
2025-07-30,"Normal",20,54.0540540540541,"sex","female","Overall"
2025-07-30,"Normal",35,55.5555555555556,"sex","male","Overall"
2025-07-30,"Normal",4,80,"sex","other/prefer not to share","Overall"
2025-07-30,"Obese",2,3.17460317460317,"sex","male","Overall"
2025-07-30,"Overweight",1,2.7027027027027,"sex","female","Overall"
2025-07-30,"Overweight",24,38.0952380952381,"sex","male","Overall"
2025-07-30,"Underweight",16,43.2432432432432,"sex","female","Overall"
2025-07-30,"Underweight",2,3.17460317460317,"sex","male","Overall"
2025-07-30,"Underweight",1,20,"sex","other/prefer not to share","Overall"
2025-07-31,"Normal",20,51.2820512820513,"sex","female","Overall"
2025-07-31,"Normal",41,47.6744186046512,"sex","male","Overall"
2025-07-31,"Normal",4,80,"sex","other/prefer not to share","Overall"
2025-07-31,"Obese",5,5.81395348837209,"sex","male","Overall"
2025-07-31,"Overweight",2,5.12820512820513,"sex","female","Overall"
2025-07-31,"Overweight",35,40.6976744186046,"sex","male","Overall"
2025-07-31,"Underweight",17,43.5897435897436,"sex","female","Overall"
2025-07-31,"Underweight",5,5.81395348837209,"sex","male","Overall"
2025-07-31,"Underweight",1,20,"sex","other/prefer not to share","Overall"
2025-08-01,"Normal",22,57.8947368421053,"sex","female","Overall"
2025-08-01,"Normal",39,46.4285714285714,"sex","male","Overall"
2025-08-01,"Normal",2,66.6666666666667,"sex","other/prefer not to share","Overall"
2025-08-01,"Obese",4,4.76190476190476,"sex","male","Overall"
2025-08-01,"Overweight",1,2.63157894736842,"sex","female","Overall"
2025-08-01,"Overweight",35,41.6666666666667,"sex","male","Overall"
2025-08-01,"Underweight",15,39.4736842105263,"sex","female","Overall"
2025-08-01,"Underweight",6,7.14285714285714,"sex","male","Overall"
2025-08-01,"Underweight",1,33.3333333333333,"sex","other/prefer not to share","Overall"
2025-08-02,"Normal",26,57.7777777777778,"sex","female","Overall"
2025-08-02,"Normal",43,54.4303797468354,"sex","male","Overall"
2025-08-02,"Normal",5,71.4285714285714,"sex","other/prefer not to share","Overall"
2025-08-02,"Obese",6,7.59493670886076,"sex","male","Overall"
2025-08-02,"Overweight",2,4.44444444444444,"sex","female","Overall"
2025-08-02,"Overweight",26,32.9113924050633,"sex","male","Overall"
2025-08-02,"Overweight",1,14.2857142857143,"sex","other/prefer not to share","Overall"
2025-08-02,"Underweight",17,37.7777777777778,"sex","female","Overall"
2025-08-02,"Underweight",4,5.06329113924051,"sex","male","Overall"
2025-08-02,"Underweight",1,14.2857142857143,"sex","other/prefer not to share","Overall"
2025-08-03,"Normal",27,61.3636363636364,"sex","female","Overall"
2025-08-03,"Normal",39,47.5609756097561,"sex","male","Overall"
2025-08-03,"Normal",4,80,"sex","other/prefer not to share","Overall"
2025-08-03,"Obese",4,4.8780487804878,"sex","male","Overall"
2025-08-03,"Overweight",2,4.54545454545455,"sex","female","Overall"
2025-08-03,"Overweight",36,43.9024390243902,"sex","male","Overall"
2025-08-03,"Overweight",1,20,"sex","other/prefer not to share","Overall"
2025-08-03,"Underweight",15,34.0909090909091,"sex","female","Overall"
2025-08-03,"Underweight",3,3.65853658536585,"sex","male","Overall"
2025-08-04,"Normal",26,56.5217391304348,"sex","female","Overall"
2025-08-04,"Normal",40,54.7945205479452,"sex","male","Overall"
2025-08-04,"Normal",2,50,"sex","other/prefer not to share","Overall"
2025-08-04,"Obese",2,2.73972602739726,"sex","male","Overall"
